id,category,description,img_path,url,picarats,first_hint,second_hint,third_hint,special_hint,solution,answer_img
087,Write Answer,"A teacher asks a student if he knows how to tell the time.
 The student nods, so the teacher presents him with the following puzzle:

""This wall clock fell down and broke into three pieces.
 You can't see the numbers from here, but I can tell you that the total of the numbers on each of the three pieces is the same.
 So, can you tell me what time this clock is showing?""

According to this clock, what time is it?
",layton-data/images/A_Shamefaced_Clock.jpg,https://layton.fandom.com/wiki/Puzzle:A_Shamefaced_Clock,30.0,"Add up all the numbers on a clock face, from one to 12, and you get a total of 78.

Dividing 78 by three gives you 26.

Since the teacher said that the numbers on each of the three clock pieces came to the same total when added up, you know that the numbers on each piece add up to 26.

","Try thinking of combinations of numbers that add up to 26.
 Here's one for you:

1 + 2 + 11 + 12.

9 + 10 + 3 + 4 is another.


Once you've got those two, the only numbers you've got left are 5, 6, 7 and 8.
 Guess what? They add up to 26 as well.

You should now have a fairly good idea of how these three clock pieces fit together!
","Looking at the pieces you've got, it soon becomes apparent that the piece of clock which contains the two hands also contains the numbers 3, 4, 9 and 10.
 That means the big hand is either pointing at 3 or at 9.

If it's pointing at 3, it's quarter past something.
 If it's pointing at 9, it's quarter to something.

","Take a close look at the position of the little hand.
 It should make it clear that the time the clock indicates is quarter to something, not quarter past.
 You now know that the big hand is pointing at 9, and that the little hand is pointing between 3 and 4.

You should therefore know exactly what time it is.

","Right on time!

The clock is showing 3:45 (or 15:45).


Once you know what the numbers on each of the three clock pieces are, you can work out where exactly the big hand is pointing at by paying attention to the little hand.


Then, when you know exactly where the big hand is pointing, you can work out what time it is!
",/Users/raphael/layton-eval/layton-data/answer_images/A_Shamefaced_Clock.jpg
W33,Arrange,"The seven items below are displayed at auction.
 The order of these items was decided in advance, and another item is still to go out.


Which item, A to D, is the eighth item going on auction?
",layton-data/images/Auction_Order.jpg,https://layton.fandom.com/wiki/Puzzle:Auction_Order,,"Vase, bowl, plate, cat, vase, bowl, cat, .
.
.
 Whatever the rule is, it doesn't appear to have anything to do with the shape.

What else could it be?
",,,,"Going, going, gone!

A is the correct answer.


At first glance, you may think the shape of the items is important, but it is actually the number of cracks on each item.
 The order is 3, 0, 1, 2, 3, 0, 1, making the cat next.
 How strange!
",
021,Selection,"The prospective tenants of this row of houses have some unusual requirements.

1.
 ""I want to live next to a red house!""
2.
 ""No blue neighbors, please.
 Oh, and a house on the end is out of the question!""
3.
 ""Two doors down from a yellow house, and no neighbors the same color as us!""
4.
 ""I'm fine with any color as long as it's not blue or red!""

Can you repaint just one house so that every tenant can have their dream home? Touch a house to change its color.

",layton-data/images/A_Lick_of_Paint.jpg,https://layton.fandom.com/wiki/Puzzle:A_Lick_of_Paint,30.0,"You can reduce the complexity of this puzzle by thinking about how the tenants' requirements limit the houses they can move into.
 For example, 2 doesn't want to be on the ends of the row, so the only choices are house B or house C.

Now take a look at 2's other requirement, and see which of those two houses would be the correct one.

","Let's suppose 2 moves into house B.
 That would require house C to be repainted.

If you paint C red, that leaves A as the only house that A could move into (neither red or blue).
 3 then has to move into either house C or house D, but neither satisfies the requirements.
 So house C can't be painted red.

","Continuing the line of thought from Hint 2, let's say 2 still moves into house B, but this time you paint house C yellow.
 That means that 1 and 3 can take house A or C, leaving house D for 4.
 However, house D doesn't satisfy 4's requirements.

So out of the two houses, B and C, that 2 could move into, there is no way to repaint C and make everyone happy.
 Thus 2 has to take house C.

","From the previous hints, you know that 2 moves into house C.
 This leaves no house that 3 can move into, unless one of either B or D is painted yellow.

Painting B yellow would let 3 move into house D, but then there would be no red house for 1 to live next door to.

Only one possibility remains.

","Correct!

Repainting the rightmost house in yellow satisfies all the tenants' conditions.


Never mind the cost of materials and labor--the landlord ought to charge all four of them for the time it took to work out which house to paint!
",
014,Button,"This fossil was found on a riverbed.


Close examination revealed tooth marks, suggesting that it was formed when some kind of ancient fish bit into something tasty.


Can you tell which one of the fish pictured in the book made these tooth marks?
",layton-data/images/Bite_of_Bygone_Days.jpg,https://layton.fandom.com/wiki/Puzzle:Bite_of_Bygone_Days,30.0,"The first thing to notice is the number of tooth marks.
 There are six, three on each side.
 That must mean the fish that made this bite mark has three pairs of teeth.

","Compare the three fish.
 Each of them has three pairs of teeth on either the upper jaw or the lower jaw.

C has rounded teeth, but that doesn't necessarily mean it couldn't make this bite mark.

Is there anything else about the fish that sets apart? Maybe the position of the teeth?
","Take another look at the fossil.
 If the fish had this object in its mouth and bit into it, wouldn't it have more tooth marks toward the edge?
Unless it had teeth arranged on the edge of the fossil.
.
.

","If the fish had a mouth full of teeth, there wouldn't be such a gap between the tooth marks and the edge of the object after it was bitten.

This fish must not have had any back teeth.

","Correct!

The answer is A.


The shape of the teeth is irrelevant.
 Looking at the bite mark as a whole, you can see that only three pairs of front teeth made an impression, so only a fish without any back teeth could have made these marks.

",
146,Logical,"A triple jump athlete has decided to wow his girlfriend by leaping across a river on floating planks to propose!

On the first 'hop' and the second 'skip' he can go either forwards, left or right one plank, changing direction if necessary.
 But on the last 'jump', he has to continue in the direction he's already moving, leaping over one plank to the plank beyond.


He intends to repeat this several times in order to reach the pink plank in front of his girl on the other side.


So, where should he start?
",,https://layton.fandom.com/wiki/Puzzle:Bridge_Over_Troubled_Water,35.0,"Because he can't change direction on the third 'jump', you need to consider the third move of each set when planning the second 'skip'.

","Let's try starting at the closest point, C.

Hop up onto the first plank, then skip up and jump up.
 Then hop up one, skip right, and jump right.

You're quite close.
 But after the next hop right and skip up, you're stuck.

","Try starting from D instead.

Hop up, skip up, then jump up.

Now hop left, but skip and jump up.

After that you can hop left, but that's the end of the road, Romeo!
","So it's just A and B left.
 Let's try starting from A.

Hop up, then skip and jump right.

Then hop up and skip and jump right again.

Then repeat that move one more time.

Next hop right, and skip and jump up.

Ooh, you're really close now.


Can you go all the way?
","You did it!

With a hop, skip, jump and 'I will', the job is done! Congrats!
",
093,River,"Help Stachenscarfen move the wolf, sheep, and cabbage from one side of the river to the other while obeying the following rules.


-In addition to its captain, the raft can only support one animal or item at once.

-When Stachenscarfen isn't near, the wolf will eat the sheep, and you'll have to start over.

-The sheep will eat the cabbage when Stachenscarfen isn't around.
 If you let the sheep have its way, you'll have to start over.


You can shuttle the raft back and forth as many times as you like, but the shortest solution takes seven moves.

",layton-data/images/Over_the_River.jpg,https://layton.fandom.com/wiki/Puzzle:Over_the_River,30.0,"Think about your first move here.

If you take the wolf over first, the sheep will eat that poor, helpless cabbage.

Meanwhile, if you take the cabbage over first, the sheep will fall victim to that hungry wolf.

So now do you have a better idea about which of the three to move first?
","The key to solving this puzzle is being flexible in the way you go about solving it.

Don't forget that you can bring a single creature or item with you when you return to the left bank of the river.
 When your cabbage or sheep is in danger, you can always bring it back with you.

","The sheep should travel first.
 When you return to the left bank, you can bring the wolf or the cabbage with you.
 However, remember that no matter what you bring over next, you'll have to take something back to the left bank to keep your sheep or cabbage from being eaten.

Now you should be able to solve this puzzle with ease.

",,"Well done!

The shortest solution for this problem requires seven moves.
 How did you fare?
",
074,Logical,"Here is a tale of a road plagued by traffic jams.
 The road has two lanes, and is quite narrow so two cars can only drive alongside each other.
 If the road is jammed up for an hour, there are 100 cars in the queue, and if it's jammed up for two hours, there are 200.
 If the only possible cause of the traffic is cars, what would be the minimum number of cars that could cause a three-hour delay?
",,https://layton.fandom.com/wiki/Puzzle:Traffic_Jam,35.0,"Read the problem carefully, and make sure you know what the question is.
 You're not being asked the number of cars in the jam.

","How many cars would it take to cause a jam? That's what you need to figure out.

","The road is narrow, so if the first car was blocking the road, that would cause a jam.

","Continuing on from hint three.
.
.

It's a two-lane road, but imagine what would happen if the first car was stopped sideways on.

","You did it!

If the first car is parked sideways along both lanes, that is enough to cause a jam.
 The question wasn't how many cars would be caught up in the jam, but how many cars it would take to cause a jam.

",
W10,Select and Submit,"A friend of yours just loves adhesive bandages.
 He LOVES them.
 Like, he would marry them if he could.
 He wears them all the time, whether he's injured or not.
 He says they're the new paisley.
.
.
seriously.


As usual, he's got a bunch stuck all over his face.
 But today, he's made a puzzle out of them just for you!

""Which one did I stick on first?""

Touch the correct bandage to mark it with an X, and then tap Submit.

",layton-data/images/Bandage_Bonanza.jpg,https://layton.fandom.com/wiki/Puzzle:Bandage_Bonanza,,"The first bandage he stuck on should be underneath all of the others.

",,,,"Great eye!

The bandages he stuck on first should be beneath all the rest.
 If you look closely, you'll see that there's only one bandage that doesn't overlap any of the others.

",
107,Arrange,"You're hanging festive lanterns for the town carnival and, of course, you wouldn't dream of disregarding the carnival committee's picky requests:
""Any more than one lamp per street would quite ruin the ambiance.
 That won't do at all.
 And it's just horrid to have beams of the same colour crossing.
 Be sure not to do that!""

Can you position the lanterns according to these demands and still light every street in town, all the way from one end to the other?
",layton-data/images/Lighten_Up_2.jpg,https://layton.fandom.com/wiki/Puzzle:Lighten_Up_2,50.0,"You've only got one green lantern, but that only makes its positioning even more important.

Start out simply by positioning your lanterns so that every street is lit up, and take things from there.

","The green lantern needs to be positioned somewhere around the top-left corner of the map.

What's that? You still don't know where to put it?
Well, it doesn't go on the edge of the map.
 Instead, it should be positioned on one of the inner streets.

","One of your pink lanterns should be placed in the top-right corner of the map, and the other should be slightly down and left from the centre of the map.

With your green and pink lanterns in place, most of the streets should be lit up.
 Now it's up to you to work out where the yellow lanterns need to go.

","Okay, one last hint.

One of your yellow lanterns needs to be placed halfway down the left edge of the map.
 Another one goes on the bottom edge of the map.
 The fact that all your pink and green lanterns are already in place means there are not many places left for your yellow lanterns to go.
 In fact, you should work it out from here quite quickly!
","You made light work of that one!

You have to admit, the image of the lights reflected on the lake is quite magical.

",/Users/raphael/layton-eval/layton-data/answer_images/Lighten_Up_2.jpg
132,Write Answer,"In the middle of the wall below is the last page of a 12-month calendar.
 The previous 11 pages were once pasted on this same wall, as you can see by the tattered remains still stuck everywhere.
 Why is it such a mess? Well, when each new month arrived, somebody ripped off the old month's page and pasted the new one on top of it without bothering to line up the edges at all.
 Sloppy work, huh?

Which month's page is the arrow pointing at? Answer with a number, for example January = 1, February = 2, and so on.

",layton-data/images/Calendar_Collage.jpg,https://layton.fandom.com/wiki/Puzzle:Calendar_Collage,40.0,"You'll figure out the right answer if you look very carefully at how the remains overlap each other.
 The earlier the month, the closer to the bottom its page was pasted.

","The complete calendar page on top, of course, is December, the twelfth month of the year.
 Try and figure out where in the stack the page that the arrow is pointing at was pasted.
 It looks like it was quite a while ago.
.
.

","Track the order of the pages that are pasted on top of the one directly on top of the one that the arrow is pointing to.

If you follow along closely, you should find an answer you're confident of.

","The answer is both the farthest month from December and the closest, depending on how you think about it.

","Sharp eye!

January, the first month of the year, is the right answer.


When you look carefully, you can see that there are 10 pages between the one the arrow is pointing at and the December one on top.
 One possible order is shown in the image above.
 Notice that whichever order the pages are in, the one the arrow is pointing at is always January.

",
013,Write Answer,"The plate in front of you bears a mark made up of two nesting equilateral triangles.


Can you puzzle out how many times bigger the large triangle is when compared to the smaller one?
",layton-data/images/On_Your_Plate.jpg,https://layton.fandom.com/wiki/Puzzle:On_Your_Plate,15.0,"You don't need to do any kind of special calculation here.
 In fact, all you need is a little intuition.

","How would things look if you rotated the smaller triangle?
","By now you've tried visualizing what things would look like if you rotated the triangle around, yes?
If you've done that, you should be able to see how many smaller triangles fit in the larger one.
 Just count them up.

",,"That's right!

If you think to flip the little triangle around as shown, it should only take a moment to realize that four of the smaller triangles will fit in the larger one.

",
128,Skating,"The lake in front of the professor has frozen solid.
 The ice is thick enough to stand on but so slippery that any movement in any direction causes him to slide uncontrollably in that direction until he hits a wall.
 When stationary, you can change the professor's direction by tapping the arrows around him.


Can you guide the professor through this slippery lake to the goal?
",layton-data/images/Slippery_Crossings_3.jpg,https://layton.fandom.com/wiki/Puzzle:Slippery_Crossings_3,40.0,"Hang a right at the first wall you bump into.

","The number of walls might make this puzzle seem daunting, but think of it this way: the greater the number of barriers in your path, the more options you have to work with.

Always think ahead of your current position on the ice to narrow down the possibilities.

","In order to enter the goal, you must first stop in a position directly below it.

But considering the complicated nature of the course, you might have more luck starting from the goal and working your way backward.
 Do that, and you'll soon see that you need to position the professor three spaces below the goal in order to reach it!
",,"Excellent!

Be glad the professor isn't a champion ice-skater.
 Sure, he'd have an easier time moving around on the ice, but then you'd be out a puzzle because of it.

",
121,Write Answer,"Below is a diagram of a flag.


From the measurements shown on the diagram, can you calculate what fraction of the flag's total area is represented by the diamond in the middle? Your answer will be the denominator for a fraction in 1/X form.


Don't complicate things by bringing trigonometry into the mix.
 The solution is simple enough to work out in your head.

",layton-data/images/Diamond_in_the_Flag.jpg,https://layton.fandom.com/wiki/Puzzle:Diamond_in_the_Flag,60.0,"Help yourself out by dividing up the flag.

First, split the flag into four equally sized rectangles by drawing a vertical line and a horizontal line through the middle of the flag.
 This will divide the diamond into quarters as well.

","These smaller rectangles can actually be broken down into fourths again.
 Be careful when calculating the length for each side.
 Is each small rectangle really 30 by 20 inches?
","When you divide the small rectangle into fourths, you will end up including a portion of the diamond in one of the smallest rectangles.

What fraction of the rectangle's area does that slice of the diamond represent?
Figure that out and you're a step away from the solution.

",,"Nicely done!

The measurements on each area of the diagram are the key to this puzzle.
 If you draw a line or two to supplement the diagram's information, it's easy to see that the diamond represents one-eighth of the flag's area.

",
112,Jigsaw,"There is a square hole in the side of this damaged building that looks  as if it could fall over at any minute.


Try to fill the hole using these five identically shaped blocks.
 As long as all the blocks are used in the wall, it's OK for there to be a few gaps.
 You can flip and rotate the blocks as required.

",layton-data/images/Wall_Repair.jpg,https://layton.fandom.com/wiki/Puzzle:Wall_Repair,30.0,"The main thing is to get all five blocks inside the hole.
 Start by rotating a block 180 degrees and putting it on the bottom right so that there is one square of empty space in the corner.
 You can use any block you want since they're all the same.

","After following Hint 1, flip a block and rotate it 90 degrees clockwise.

Place that block on the bottom left.
 There should be one square of empty space left between it and the first block.

","After following Hint 2, flip another block and rotate it 180 degrees.

Place it against the left wall.
 This should also leave one square of empty space.

","Continuing from Hint 3, rotate the next block 90 degrees counterclockwise.

Place that block in the middle of the hole.

Now figure out how to place the last block to finish repairing the wall.

","Correct!

Your solution may be a flipped or rotated version of the one shown here.


How we don't have to worry about the building falling down!
",
078,Write Answer,"This peculiar rabbit has a unique method of getting around.


He travels 70 centimeters with each hop, but when he lands, he immediately hops 30 centimeters toward the direction his tail is pointing.


On a straight line, what is the minimum number of hops it will take this rabbit to reach a spot 10 meters away?
",layton-data/images/Rabbit_Hops.jpg,https://layton.fandom.com/wiki/Puzzle:Rabbit_Hops,20.0,"At first glance, you might think the best this bunny can do is travel 70 centimeters forward and then 30 centimeters back, for a gain of 40 centimeter every two hops.

Can you think of a more efficient way for the bunny to move forward?
","During the first 70-centimeter hop, there's something the rabbit can do to maximize his next jump.

Remember, when he lands, he ""hops 30 centimeters toward the direction his tail is pointing.
""
Don't take anything for granted.

","Image the rabbit doing a  180-degree turn in midair during each hop.

This maneuver would allow him to move toward the target spot with each hop!
","If during his first hop the rabbit does 1 180-degree turn in midair, his tail will point toward the target spot when he lands, meaning his next hop will take him even closer to the target.

As long as the rabbit does a 180-degree turn in midair during each hop, he will cover one meter every two hops!
Pretty nifty, but it can make you dizzy just thinking about it.
.
.

","Hop, hop, hooray!

Twenty hops is correct.


If the bunny rabbit turns 180 degrees in midair during each 70-centimeter hop, he will land and then hop 30 centimeters toward his tail, which will be pointing forward toward the target spot.


Using this method, it will simply take the bunny two hops to cover each meter!
",
023,Pitcher,"Here we have an eight-quart pitcher filled with juice, an empty five-quart pitcher, and an empty three-quart pitcher.


The pitchers are unmarked, and your task is to divide the eight quarts of juice so that both the five-quart pitcher and the eight-quart pitcher are each holding exactly four quarts.

",layton-data/images/Juice_Pitchers.jpg,https://layton.fandom.com/wiki/Puzzle:Juice_Pitchers,40.0,"This puzzle can be frustrating because it's easy to end up back where you started.

Pay special attention to difference, particularly the one-quart difference between five quarts and four quarts.

","If you pour the contents of the five-quart pitcher into the three-quart pitcher, you are left with two quarts.

If you're aiming to isolate four quarts, you just need to remove one quart from five.
 To get that one quart, you just need to create a single quart's worth of space in another pitcher.

","If you pour the contents of the five-quart pitcher into the three-quart pitcher, you are left with two quarts.
 Next, empty the three-quart pitcher and pour in the two quarts you had stored in the five-quart pitcher.

Well, look at that! How many quarts worth of space do you have left in that three-quart pitcher now?
",,"Well done!

If you keep at it long enough, you're sure to come across the solution.
 The shortest possible solution requires seven moves.


These liquid distribution problems have been around for ages, and have even been spotted in Japanese texts from hundreds of years ago.

",
031,Placement,"Johnny and Thomas are each carrying some apples.
 If Johnny gave Thomas one apple, the two men would each have the same number of apples.
 Conversely, if Thomas gave Johnny two apples, Johnny would have three times the number of apples that Thomas would have.


So, just how many apples is each of the men holding?
",layton-data/images/Pass_the_Apples.jpg,https://layton.fandom.com/wiki/Puzzle:Pass_the_Apples,20.0,"A little critical thinking applied to the above statement tells you that Johnny must have two apples more than Thomas.

","You know from Hint One that the original difference in apples between Johnny and Thomas is two.
 In the above scenario, the gap increases by four to six.
 We now know that when Thomas loses two apples, Johnny has six more than him, which is also three times more.

","Can you think of a number where the result is the same if you add it to six or multiply it by three? That number is how many apples Thomas has after giving two away.
 So, if we add those two back, Thomas has.
.
.

",,"Nice!

Johnny has seven apples and Thomas has five.


As you can tell, if Johnny gave Thomas one apple, both men would have six apples.
 Additionally, if Thomas decided to give Johnny two of his apples, Johnny would have nine apples in total--three times as many as Thomas.

",
024,Write Answer,"After trying to fold a strip of paper in half, you notice that one side of the folded strip is one inch longer than the other.
 Determined to get it right, you fold the strip again, only to discover that now the other end of the folded strip is an inch longer than the other.


Now that you've made two folds along your strip, figure out what the distance between the two folds is when expressed in tenths of an inch.

",layton-data/images/A_Strip_of_Paper.jpg,https://layton.fandom.com/wiki/Puzzle:A_Strip_of_Paper,10.0,"Think about how much longer one side of the strip was compared to the other one after the first fold.

","Remember, you're being asked to answer in tenths of an inch.

","Consider the location of the first fold your starting point.
 The second fold must have been positioned one inch away from this location.

Does that clear things up for you?
",,"That's right!

The distance between the folds is one inch, or 10 tenths of an inch.


If you're having trouble visualizing this, picture that the matchbox shown above has a height of one inch.


Image that the areas where one side of the box connects to the top and bottom are the folds in the strip, and you can see how the excess length in both folds can be represented by the other side.

",
T,,,,https://layton.fandom.com/wiki/Puzzle:46_A_Place_Name_Puzzle,,,,,,,
091,Pictorial,"We have here a semi-circular piece of paper.
 It's a circle with a circumference of 30cm that has been cut in half.
 Using this piece of paper, what is the circumference of the biggest possible circle you can make? You can fold or bend the paper, but you cannot cut it.

",,https://layton.fandom.com/wiki/Puzzle:Circular_Reasoning,50.0,"It would be hard to make a flat circle.
 You need to think about this in 3D.

","Try making a semi-circle into a cone.
 Take the middle of the semi-circle as the upper point and fold the paper around to make a cone.

","If you bend the paper to make a cone, the bottom of the cone will form a circle.
 The circumfercne of the circle will be the same lenght of the arc of the semi-circle.

","Continuing on from hint three.
.
.

The cone is made from a piece of paper that is half of a circle with the circumference of 30cm.
 So what would be the circumference of the bottom of the cone?
","You did it!

Folding a semi-circular piece of paper makes it into a cone, and the bottom of the cone is a circle.
 The circumference of this circle is the same lenght of the arc of the semi-circle.
 In other words, it too is half of 30cm.

",
W08,Write Answer,"A salesman is planning his route around 16 towns using his map.
 Starting from S, he wants to visit every town and up back at S.


Assuming he has decided to go to town 1 first, and that he will only visit each town once to save on fuel, what number will the town marked with a star be in the sequence?

By the way, roads marked with an X are closed.

",layton-data/images/Around_the_Towns.jpg,https://layton.fandom.com/wiki/Puzzle:Around_the_Towns,0.0,"There is only one route around the map that will fulfill the conditions of the puzzle.
 Each town requires one road to enter by, and another to exit by.
 Bearing that in mind, try finding a route leading back out of town S, then joining those routes in the middle.

",,,,"That's right!

This is the only route that allows the salesman to visit each town once only.

",
038,Write Answer,"You have four horses, all of which travel at different speeds.
 In traveling form point A to point B, these horses take one, two, four, and six hours respectively.


One day, you decide to move all your horses from point A to point B.
 However, you can only move a maximum of two horses at a time, and you need to ride a horse back to point A each time you return to move your other horses.
 Knowing you can only move as fast as the slowest horse you're traveling with, what's the fewest number of hours it will take to complete your move?
",layton-data/images/Moving_Day_(DB).jpg,https://layton.fandom.com/wiki/Puzzle:Moving_Day_(DB),35.0,"However, if you always make traveling back on your one-hour horse your top priority, you may end up wasting time on other legs of the journey.
 Don't assume you always need to return from B to A on the one-hour horse.

","In order to move all your horses from A to B in the shortest amount of time, you'll need to cross over from A to B three times and return from B to A twice.

How do you make the most effective use of this limited number of crossings?
","This method minimizes the overall amount of time necessary to move all your horses to point B.

",,"That's right!

To start, take your one- and two-hour horses.
 Then ride your one-hour horse back.
 Next, ride out on your four- and six-hour horses, and return on your two-hour horse.
 At this point you've been moving horses for 11 hours--three in the first excursion, and eight in the next.


Now you should be back at point A with your one- and two-hour horses.
 Ride them both across to point B to finish the task in 13 hours.

",
134,Logical,"Five addition sums have been drawn on the blackboard.
 But some of the numbers have been omitted, with either a dotted circle or dotted square in their place.


The numbers 1 to 8 go in the dotted circles, but you can only use each number once.
 Also, reading from left to right along each row of numbers, the digits must appear in ascending order.


Which number goes in the '?' space?
",,https://layton.fandom.com/wiki/Puzzle:Number_Cruncher,30.0,"The sum on the left can only be 0 + 2, and the sum on the right can only be 9 + 7.

","Now the part of the problem that states the digits in each row of numbers must appear in ascending order from left to right.

Since you already have a 2 in the bottom-left circle, the second sum along must be 1 +3.

You can also deduce that the number to the left of the 9 must be 8.

","The numbers left to place are 4, 5 and 6.

If you notice that the answer to the third sum is a two-digit number, the sum can't be 4 + 5.

","Continuing on from hint three.
.
.

If you made the middle sum 5 + 6, there would be nowhere left to place the 4.
 Thinking about the fact that the numbers must appear in ascending order in each row, the only possible option for the third sum is 6 + 4.

So now there's only one more number to place below the 8 to complte the sum you need.

","You did it!

The sums themselves are simple.
.
.
 once you know what the numbers you have to add up are!
",
W27,Tap Answer,"Which pattern matches the one in the upper-left corner? Is it A, B, or C?

The upper-left pattern has had its contents flipped left to right and its colors inverted and changed to black and white.

",layton-data/images/Pattern_Recognition.jpg,https://layton.fandom.com/wiki/Puzzle:Pattern_Recognition,0.0,"First try looking at the centers of the patterns.



",,,,,
e,,,layton-data/images/Chew_On_This_Puzzle!.jpg,https://layton.fandom.com/wiki/Puzzle:Chew_On_This_Puzzle!,50.0,,,,,,
163,Piece Positioning,"Let's put this picture back together.
 Slide each of the pieces in the picture into the right position, and then place the large piece outsode of the picture into the empty space.
 You can move the pieces around by sliding them, but you can't move them outside the picture.
 They also cannot be overlap or be moved through each other.

",,https://layton.fandom.com/wiki/Puzzle:Puzzle_of_Betrayal,50.0,"The final piece forms the centre of the picture, so you need to create a space that this piece will fit into.
 You don't need to move the pieces at the top-left and bottom-left.

","Let's look at one solution.


First, move down all of the pieces that can go straight down.


Then move the L-shaped piece in the centre to the right, and move the oblong piece on the left to the right and then down.

","Continuing on from hint two.
.
.


Move the L-shaped piece at the top-centre back to left, and then move the vertical L-shaped piece on the right back up as well.
 After moving the horizontal oblong piece right, move the two small pieces at the bottom to the left.
 Then you clear to move the horizontal oblong piece to the bottom-right of the picture.

","Continuing on from hint three.
.
.


Move the small pieces out of the way so that you can move the horizontal oblong piece at the bottom to the left.
 Then move the piece at the top-right to the bottom-right, and the piece at the upper-centre to the top-right.
 Then all you need to do is move the small pieces to the left and right to create the perfect space for the final piece in the middle.

","You did it!

The picture has been perfectly put back together.
 It's a very sad picture of seven people with their backs turned on another.

",
119,Tap Answer,"There are 10 coins in each of the five bags below.
 One of these bags is filled with fake coins that are lighter than the real ones.
 A real coin weighs 10 units, but a fake coin is one unit lighter.
 If you're using a scale that can register up to 200 units, what is the fewest number of times you could use the scale to find the one bag filled with fake coins?
",layton-data/images/The_Fake_Coins.jpg,https://layton.fandom.com/wiki/Puzzle:The_Fake_Coins,30.0,"The bag of fake coins contains ONLY fake coins, each of them one unit lighter than a real coin.
 So you could take one coin out of each bag and weigh them each in turn, using the scale five times.

But that wouldn't make for a very interesting puzzle, would it?
","Think about how to accomplish your goal in less than five weighings.
 If you tried to weigh all the bags at once, you would go over the scale's measuring capacity.

","Hint Two had the idea of weighing all the bags at once.
 There are 10 10-unit coins in each of the five bags, for a total of 500 units.
 But one bag contains fake coins, so the weight is actually less than that.

Perhaps the key to solving this really is to weigh all the bags at once, in a sense?
",,"You got it!

You only need to use the scale once.
 From every bag, remove the number of coins indicated by the bag's number.
 Then you just weigh these 15 coins once.


If all of the coins were real, their combined weight would be 150 units, but you'll end up with a weight less than this.
 The difference between this actual weight and 150 units corresponds to the number on the bag of fake coins.

",
34,Chess,"Two opposing sets of knight chess pieces are engaged in battle.
 In order to win, your chess piece must topple the enemy piece.
 

Chess knights move two squares forwards and one square perpendicular on each turn.
 The initial direction can be up, down, left, or right.
 

Be careful.
 The board is filled with pits and spaces that will move your piece in the direction shown.

",layton-data/images/Chess_Skirmish.jpg,https://layton.fandom.com/wiki/Puzzle:Chess_Skirmish,20.0,"This puzzle can be cleared in seven moves.

The trick is to use the moving panels to move to otherwise inaccessible spots.

","Start by moving to the top right space.
 From there, you will find there are more movement options available to you.

Make your way to the moving panel below to make your right.
 This will place you in the space below.

","Next, move up two spaces and left one space.
 
Done correctly, you will be able to move two spaces left and one space up.
 Your next move should put you in front of the enemy piece.

","There are now two options:
move one space up and two spaces left or move one space up and two spaces right.

Choose wisely.
 Only one of these will help move you to victory!
","Well done!

Checkmate! 
",
50,Slide,"Someone is coming! You'll have to hide inside the wagon before he spots you.

It looks as if it's going to be a tight fit for three people plus the wagon's cargo.


It will take some rearranging to fit everything.


There are a few ways to solve this puzzle, but it might be easier if Phoenix enters last.

",layton-data/images/Tight_Squeeze.jpg,https://layton.fandom.com/wiki/Puzzle:Tight_Squeeze,50.0,"It has been established that Phoenix should enter last.
 The two pieces shown below are in the correct places, so no need to move them.

","Next, place the long rectangular piece in the spot shown below.

","Now place the L-shaped piece as shown below.


It's all beginning to fall into place, isn't it?
","Almost there! Lastly, place Luke and Espella as shown below.

","Good job!

It may not be the most comfortable ride, but at least everyone is well hidden!

But just where is this wagon headed?
",
098,Button,"All that is known about this secret code is what's written on the back of the piece of paper:

""These symbols follow a rule and are listed in order from top to bottom.
""

As shown by the question mark, what sixth symbol of the code is missing.


Can you figure you which symbol A-E, is part of the code?
",layton-data/images/Symbol_Code.jpg,https://layton.fandom.com/wiki/Puzzle:Symbol_Code,50.0,"Once you figure out the rule, it would be theoretically possible to create the 100th or 200th symbol in the sequence.
 Doing so, however, would be nearly impossible.

","Don't get distracted by the shapes of the symbols.
 There's only one feature of each symbol that you need to worry about.

Take C, for example.
 It's possible to swap C with the fourth symbol in the sequence without breaking the code's rule.
 See if you can figure out what features these two symbols have in common.

","The symbols of this code represent numbers.
 In order from top to bottom, they represent 0, 1, 2, 3, 4.
.
.

See if you can figure out how each symbol represents each number.

","Try tracing each symbol.
 For most of them, there will be points where you can't go any farther forward.

The first symbol in the sequence has none of these end points and represents 0.
 The next symbol has one end point, so it represents 1.

How many end points would you expect the sixth symbol to have?
","Fabulous!

The number of end points on each symbol indicates the number that symbol represents.


The missing symbol in the sequence must have five end points and is, therefore, symbol D.

",
037,Press Button,"This tomcat is trying to meet up with his sweetheart.
 However, the dogs on the squares with Xs can smell a cat up to three squares away and chase him off.
 They can't, however, smell a cat through a wall.


Which entrance--A, B, C, or D--should the tomcat take to be reunited with his lady friend?
",layton-data/images/Cat_Romance.jpg,https://layton.fandom.com/wiki/Puzzle:Cat_Romance,25.0,"It's tough to find a path from each entrance.

Start by thinking about where the dogs are.

","Using the Memo function to fill in the dangerous areas might prove helpful.

","Did you try filling in the dangerous squares? If you did that, wouldn't it reveal a safe path?
","You'll know a path is dangerous if you've run into a dog before turning around three corners.

","Purrrfect!

The answer is C.
 Reunited at last!
",
